State_Code,Avg,rate,dti
1,"8,152.08",0.139458333,16.52083333
2,"8,100",0.144166667,17.90333333
,,,
4,"7,619.57",0.140908696,17.65391304
5,"3,350",0.11004,14.172
6,"8,989.12",0.137668707,15.19884354
,,,
8,"6,506.25",0.13471875,14.9509375
9,"7,814.42",0.11565,10.13038462
10,"4,812.50",0.16675,21.165
,,,
12,"7,421.06",0.129834646,12.29346457
13,"8,835.48",0.136598387,13.19290323
,,,
15,"5,166.67",0.123933333,15.92666667
16,"4,200",0.126066667,17.05
17,"7,836.11",0.141841667,15.185
18,"5,785",0.13276,9.725
19,"6,060.71",0.143928571,12.29857143
20,"5,811.67",0.13056,14.876
21,"7,318.75",0.14145,17.505
22,"6,042.86",0.109871429,7.748571429
,,,
24,"8,978.03",0.145687879,14.27878788
25,"7,560.42",0.130833333,11.16791667
26,"9,241.67",0.143104167,17.63541667
27,"7,622.92",0.143541667,17.15166667
28,"7,562.50",0.134925,13.27
29,"5,930.92",0.136289474,14.0131579
30,"12,766.67",0.1283,18.145
31,"9,541.67",0.136983333,10.20166667
32,"8,326.39",0.135616667,12.92777778
33,"8,936.11",0.142433333,17.87555556
34,"6,781.36",0.135067273,13.76345455
35,"10,166.67",0.149388889,18.15555556
36,"7,964.95",0.129845794,11.30317757
37,"6,579.17",0.133566667,11.88611111
,,,
39,"6,648.08",0.1409,15.915
40,"5,485",0.13476,13.66
41,"6,500",0.13125,12.8925
42,"7,205.92",0.139371053,15.32526316
,,,
44,"5,170.83",0.137933333,9.385
45,"6,590.63",0.1426625,15.23125
46,"3,937.50",0.11965,20.655
47,"5,973.33",0.13424,16.89
48,"7,062.70",0.134580328,16.45885246
49,"7,405.56",0.143866667,15.40222222
50,"2,500",0.0807,0.09
51,"10,421.21",0.134269697,17.09515152
,,,
53,"7,708.75",0.14267,17.0425
,,,
55,"8,307.89",0.135484211,15.58105263
56,"10,000",0.1059,17.96
