State_Code,AvgFunded,rate,dti,AvgFundedA,rateA,dtiA,State_Abbr,,State_Abbr2,rate2,dti2,AvgFundedA2,rateA2,dtiA2,RDtiA,RDtiB,RRSB,RRSA
1,"8,152.08",0.139458333,16.52083333,"11,072.51",0.118247124,14.07280974,AL,,AL,0.139458333,16.52083333,"11,072.51",0.118247124,14.07280974,18.37%,17.65%,521.7507389,519.260274
2,"8,100",0.144166667,17.90333333,"12,777.16",0.128030864,14.79444444,AK,,AK,0.144166667,17.90333333,"12,777.16",0.128030864,14.79444444,42.86%,52.94%,553.914494,554.1550954
,,,,,,,,,AZ,0.140908696,17.65391304,"10,679.96",0.122113379,13.1537415,32.65%,35.29%,565.4063297,566.597814
4,"7,619.57",0.140908696,17.65391304,"10,679.96",0.122113379,13.1537415,AZ,,AR,0.11004,14.172,"10,347.26",0.116331707,15.31105691,81.63%,84.31%,579.3218122,580.2548871
5,"3,350",0.11004,14.172,"10,347.26",0.116331707,15.31105691,AR,,CA,0.137668707,15.19884354,"11,043.49",0.121319606,12.83909641,73.47%,70.59%,593.226897,593.4391083
6,"8,989.12",0.137668707,15.19884354,"11,043.49",0.121319606,12.83909641,CA,,CO,0.13471875,14.9509375,"11,230.59",0.117672854,13.56155303,75.51%,66.67%,594.3792777,596.0978616
7,,,,,,,,,CT,0.11565,10.13038462,"11,293.80",0.11918687,12.90188329,83.67%,76.47%,594.8433449,595.2991968
8,"6,506.25",0.13471875,14.9509375,"11,230.59",0.117672854,13.56155303,CO,,DE,0.16675,21.165,"9,971.27",0.119630702,13.91403509,100.00%,100%,536.9476923,534.237402
9,"7,814.42",0.11565,10.13038462,"11,293.80",0.11918687,12.90188329,CT,,FL,0.129834646,12.29346457,"10,475.40",0.119615286,13.53197075,71.43%,74.51%,566.5158532,567.1296465
10,"4,812.50",0.16675,21.165,"9,971.27",0.119630702,13.91403509,DE,,GA,0.136598387,13.19290323,"11,016.99",0.119182416,13.99551823,95.92%,96.08%,558.7698239,558.0195587
11,,,,,,,,,HI,0.123933333,15.92666667,"10,817.53",0.125845402,13.85264368,79.59%,80.39%,568.6137132,567.2552753
